Surname,Region
გოგიჯანაშვილი,იმერეთი
გოგიჯანოვი,იმერეთი
გოგლიჩაძე,იმერეთი
გოგლიჩიძე,იმერეთი
გოგნაძე,იმერეთი
გოგნიძე,იმერეთი
გოგობერიშვილი,იმერეთი
გოგოლავა,იმერეთი
გოლუბიანი,იმერეთი
გოგოლაშვილი,იმერეთი
გოგონაძე,იმერეთი
გოგორიშვილი,იმერეთი
გოკიელი,იმერეთი
გოლაძე,იმერეთი
გოლოძე,იმერეთი
გორგიძე,იმერეთი
გოჩელაშვილი,იმერეთი
გოცაძე,იმერეთი
გუნიავა,იმერეთი
გუბელაძე,იმერეთი
გუბელიძე,იმერეთი
გუბერიძე,იმერეთი
გულდედავა,იმერეთი
გორდაძე,იმერეთი
გურჯაძე,იმერეთი
გურჯიძე,იმერეთი
გურეშიძე,იმერეთი
დუშუაშვილი,იმერეთი
დადივაძე,იმერეთი
დადუნაშვილი,იმერეთი
დავაძე,იმერეთი
დავითაძე,იმერეთი
დავითულიანი,იმერეთი
დავლაძე,იმერეთი
დავლიანიძე,იმერეთი
დათეშიძე,იმერეთი
დათვიაშვილი,იმერეთი
დათიაშვილი,იმერეთი
დათუაშვილი,იმერეთი
დათუაძე,იმერეთი
დალალიშვილი,იმერეთი
დალაქიშვილი,იმერეთი
დალაქოვი,იმერეთი
დალსაძე,იმერეთი
დამენია,იმერეთი
დანგაძე,იმერეთი
დანელია,იმერეთი
დარახველიძე,იმერეთი
დარბაიძე,იმერეთი
დარსაველიძე,იმერეთი
დარსაძე,იმერეთი
დარსაველია,იმერეთი
დარსაველიძე,იმერეთი
დარჯანია,იმერეთი
დაღუნდარიძე,იმერეთი
დგვეფაძე,იმერეთი
დევაძე,იმერეთი
დევდარიანი,იმერეთი
დევიძე,იმერეთი
დეისაძე,იმერეთი
დეკანოზიშვილი,იმერეთი
დეკანოიძე,იმერეთი
დეკანოსიძე,იმერეთი
დემეტრაშვილი,იმერეთი
დემეტრაძე,იმერეთი
დენოზაშვილი,იმერეთი
დენოსაშვილი,იმერეთი
დვალაშვილი,იმერეთი
დვალაძე,იმერეთი
დვალი,იმერეთი
დვალიშვილი,იმერეთი
დიაკვნიშვილი,იმერეთი
დიაკონიძე,იმერეთი
დიანასეშვილი,იმერეთი
დიასამიძე,იმერეთი
დიდავა,იმერეთი
დიდბარიძე,იმერეთი
დიდბერიძე,იმერეთი
დიდებული,იმერეთი
დიდიგორაშვილი,იმერეთი
დიდიძე,იმერეთი
დივანი,იმერეთი
დივნიშვილი,იმერეთი
დინარაძე,იმერეთი
დიონაზეშვილი,იმერეთი
დიხამინჯია,იმერეთი
დოგრაშვილი,იმერეთი
დოდელია,იმერეთი
დოკოშვილი,იმერეთი
დოლაბერიძე,იმერეთი
დოლაკიძე,იმერეთი
დოლიკაშვილი,იმერეთი
დოლიძე,იმერეთი
დონაძე,იმერეთი
დოღონაძე,იმერეთი
დოჭვირი,იმერეთი
დუგლაძე,იმერეთი
დუნდუა,იმერეთი
დუღაძე,იმერეთი
დუჩავა,იმერეთი
ებანოიძე,იმერეთი
ეგუტიძე,იმერეთი
ედიბერიძე,იმერეთი
ეზიაშვილი,იმერეთი
ეკალაძე,იმერეთი
ელიავა,იმერეთი
ელიაშვილი,იმერეთი
ელჩიბეგოვი,იმერეთი
ემნაძე,იმერეთი
ენდელაძე,იმერეთი
ენუქიძე,იმერეთი
ერაძე,იმერეთი
ერგემლაძე,იმერეთი
ერგემლიძე,იმერეთი
ერგენიძე,იმერეთი
ერგვენიძე,იმერეთი
ერდიშვილი,იმერეთი
ერემეიშვილი,იმერეთი
ერისთავი,იმერეთი
ესაიაშვილი,იმერეთი
ესაძე,იმერეთი
ეფრემიძე,იმერეთი
ექსეულიძე,იმერეთი
ექსოულიძე,იმერეთი
ეცადია,იმერეთი
ეძგვერაძე,იმერეთი
ეჯიბაძე,იმერეთი
ვადაჭკორია,იმერეთი
ვადაჭყორე,იმერეთი
ვარდანეიშვილი,იმერეთი
ვარდანიძე,იმერეთი
ვარდოსანიძე,იმერეთი
ვარდუკაძე,იმერეთი
ვასაძე,იმერეთი
ვაშაკიძე,იმერეთი
ვაშალომიძე,იმერეთი
ვაშაყმაძე,იმერეთი
ვაშაძე,იმერეთი
ვაშლაძე,იმერეთი
ვაჩეიშვილი,იმერეთი
ვაჩიბერაძე,იმერეთი
ვაჩიბერიძე,იმერეთი
ვაჭარაძე,იმერეთი
ვაჭარიძე,იმერეთი
ვაჭრიძე,იმერეთი
ვახამია,იმერეთი
ვახანელი,იმერეთი
ვახანია,იმერეთი
ვახტანგაძე,იმერეთი
ველიაშვილი,იმერეთი
ვერულაშვილი,იმერეთი
ვერულეიშვილი,იმერეთი
ვეფხაძე,იმერეთი
ვეფხვაძე,იმერეთი
ვეფხვიაშვილი,იმერეთი
ვეშაპიძე,იმერეთი
ვეჭყომაძე,იმერეთი
ვირსალაძე,იმერეთი
ზაბახიძე,იმერეთი
ზაბუკისძე,იმერეთი
ზალკალიანი,იმერეთი
ზამბახიძე,იმერეთი
ზამთარაძე,იმერეთი
ზანკალიანი,იმერეთი
ზართანია,იმერეთი
ზარნაძე,იმერეთი
ზაუტაშვილი,იმერეთი
ზაქარაშვილი,იმერეთი
ზაქარეიშვილი,იმერეთი
ზაქარიაძე,იმერეთი
ზაქაშვილი,იმერეთი
ზაქრაძე,იმერეთი
ზედაშიძე,იმერეთი
ზედგინიძე,იმერეთი
ზეინკლიშვილი,იმერეთი
ზვიადაძე,იმერეთი
ზვიმბაია,იმერეთი
ზიბზიბაძე,იმერეთი
ზირაქაძე,იმერეთი
ზოსიაშვილი,იმერეთი
ზუბიაშვილი,იმერეთი
ზუზაძე,იმერეთი
ზუმბაძე,იმერეთი
თაბაგარი,იმერეთი
თაბაქარი,იმერეთი
თაბუკაშვილი,იმერეთი
თადუმაძე,იმერეთი
თავართქილაძე,იმერეთი
თავაძე,იმერეთი
თავბერიძე,იმერეთი
თავდიდიშვილი,იმერეთი
თავზარაშვილი,იმერეთი
თავშავაძე,იმერეთი
თავხელიძე,იმერეთი
თათარაშვილი,იმერეთი
თათეიშვილი,იმერეთი
თათვიძე,იმერეთი
თათიაშვილი,იმერეთი
თათიეიშვილი,იმერეთი
თალგამაძე,იმერეთი
თამბერიძე,იმერეთი
თარგამაძე,იმერეთი
თედორაძე,იმერეთი
თევდორაძე,იმერეთი
თევზაძე,იმერეთი
თელია,იმერეთი
თვალაბეიშვილი,იმერეთი
თვალავაძე,იმერეთი
თვალაძე,იმერეთი
თვალთაძე,იმერეთი
თვალიაშვილი,იმერეთი
თვალოძე,იმერეთი
თვარელიძე,იმერეთი
თითბერიძე,იმერეთი
თიკანაშვილი,იმერეთი
თოდაძე,იმერეთი
თოდუა,იმერეთი
თორთვლაძე,იმერეთი
თორთლაძე,იმერეთი
თოფურია,იმერეთი
თუთარაშვილი,იმერეთი
თუთაშვილი,იმერეთი
თუთბერიძე,იმერეთი
თულიანი,იმერეთი
თურმანიძე,იმერეთი
თურქაძე,იმერეთი
თუშიშვილი,იმერეთი
თხელიძე,იმერეთი
თხილავა,იმერეთი
იაკობაშვილი,იმერეთი
იაკობიძე,იმერეთი
იამანიძე,იმერეთი
იაშვილი,იმერეთი
იდაძე,იმერეთი
იერამეიშვილი,იმერეთი
ივანაშვილი,იმერეთი
ივანეიშვილი,იმერეთი
ივანიაძე,იმერეთი
იმედაძე,იმერეთი
იმედია,იმერეთი
ინაკავაძე,იმერეთი
ინანეიშვილი,იმერეთი
ინასარიძე,იმერეთი
იობაშვილი,იმერეთი
იობაძე,იმერეთი
იობიძე,იმერეთი
იოსებაშვილი,იმერეთი
იოსელიანი,იმერეთი
ირემაძე,იმერეთი
ისაკაძე,იმერეთი
იშხნელი,იმერეთი
იჩქიტიძე,იმერეთი
კვატაია,იმერეთი
კაალაძე,იმერეთი
კავაძე,იმერეთი
კავთელაძე,იმერეთი
კავილაძე,იმერეთი
კაკაბაძე,იმერეთი
კაკალაძე,იმერეთი
კაკალეიშვილი,იმერეთი
კაკალიაშვილი,იმერეთი
კაკაურიძე,იმერეთი
კაკიაშვილი,იმერეთი
კაკოიშვილი,იმერეთი
კაკოჩაშვილი,იმერეთი
კაკუშაძე,იმერეთი
კალანდაძე,იმერეთი
კალატოზი,იმერეთი
კალაძე,იმერეთი
კალმახელიძე,იმერეთი
კალოიანი,იმერეთი
კამკამიძე,იმერეთი
კამკაძე,იმერეთი
კამლაძე,იმერეთი
კანაჩაძე,იმერეთი
კანდელაკი,იმერეთი
კანთელაძე,იმერეთი
კანკაძე,იმერეთი
კანჯარაძე,იმერეთი
კაპანაძე,იმერეთი
კაპატაძე,იმერეთი
კაპეტივაძე,იმერეთი
კაპჭინაშვილი,იმერეთი
კაპჭელაშვილი,იმერეთი
კარანაძე,იმერეთი
კარგარეთელი,იმერეთი
კარკაძე,იმერეთი
კარსანიძე,იმერეთი
კარტოზია,იმერეთი
კასაპაშვილი,იმერეთი
კაშია,იმერეთი
კაშმაძე,იმერეთი
კაჩუხაშვილი,იმერეთი
კაცაძე,იმერეთი
კაციტაძე,იმერეთი
კაჭარავა,იმერეთი
კაჭახიძე,იმერეთი
კაჭკაჭიშვილი,იმერეთი
