Surname,Region
დუკაშვილი,კახეთი
დულარიძე,კახეთი
დულიაშვილი,კახეთი
დულუზაური,კახეთი
დურდიაძე,კახეთი
დურიშვილი,კახეთი
დუღაშვილი,კახეთი
დუშმანაშვილი,კახეთი
დუჩიძე,კახეთი
ებელაშვილი,კახეთი
ებიტაშვილი,კახეთი
ეგეტაშვილი,კახეთი
ეგიდუნაშვილი,კახეთი
ედიშერიძე,კახეთი
ეთერაშვილი,კახეთი
ელანიძე,კახეთი
ელაშვილი,კახეთი
ელერდაშვილი,კახეთი
ელიბაშვილი,კახეთი
ელიბოშვილი,კახეთი
ელიზარაშვილი,კახეთი
ელიზბარაშვილი,კახეთი
ელიზბარიშვილი,კახეთი
ელიზბარიძე,კახეთი
ელიკაური,კახეთი
ელიკაშვილი,კახეთი
ელიოზაშვილი,კახეთი
ელიოზიშვილი,კახეთი
ელისაშვილი,კახეთი
ელისბარაშვილი,კახეთი
ელმეთაშვილი,კახეთი
ელოშვილი,კახეთი
ემრაშვილი,კახეთი
ენუქაშვილი,კახეთი
ენუქიშვილი,კახეთი
ეჟიშვილი,კახეთი
ერბოწონაშვილი,კახეთი
ერგემლიძე,კახეთი
ერემაშვილი,კახეთი
ერთგულაშვილი,კახეთი
ერიაშვილი,კახეთი
ერკოშვილი,კახეთი
ესაიაშვილი,კახეთი
ესიტაშვილი,კახეთი
ესტატიშვილი,კახეთი
ეფემიაშვილი,კახეთი
ეფხოშვილი,კახეთი
ექვთიმიშვილი,კახეთი
ექვსშაურაშვილი,კახეთი
ექვშაურაშვილი,კახეთი
ვაიტაძე,კახეთი
ვალაშვილი,კახეთი
ვანეშვილი,კახეთი
ვაჟბედაშვილი,კახეთი
ვარადაშვილი,კახეთი
ვარაზანაშვილი,კახეთი
ვარაზაშვილი,კახეთი
ვარაზიშვილი,კახეთი
ვარამაშვილი,კახეთი
ვარამიშვილი,კახეთი
ვარდაშვილი,კახეთი
ვარდიაშვილი,კახეთი
ვარდოშვილი,კახეთი
ვარდუაშვილი,კახეთი
ვართანაშვილი,კახეთი
ვარსემაშვილი,კახეთი
ვარსიმაშვილი,კახეთი
ვაყელაშვილი,კახეთი
ვაყელიშვილი,კახეთი
ვაშაკაშვილი,კახეთი
ვაჩნაძე,კახეთი
ვაჭრიშვილი,კახეთი
ვახვახიშვილი,კახეთი
ვახტანგაშვილი,კახეთი
ვახტანგიშვილი,კახეთი
