Surname,Region
დგებია,სამეგრელო
დაგანაძე,სამეგრელო
დაკარგულია,სამეგრელო
დადახავა,სამეგრელო
დადიანი,სამეგრელო
დადუნაშვილი,სამეგრელო
დავაძე,სამეგრელო
დავიანტი,სამეგრელო
დავითაია,სამეგრელო
დავითაძე,სამეგრელო
დათუაშვილი,სამეგრელო
დამენია,სამეგრელო
დანელია,სამეგრელო
დარასელია,სამეგრელო
დარახველიძე,სამეგრელო
დარსაველიძე,სამეგრელო
დარსალია,სამეგრელო
დარსანია,სამეგრელო
დარჩიძე,სამეგრელო
დარციმელია,სამეგრელო
დარცმელია,სამეგრელო
დარცმელიძე,სამეგრელო
დარჯაია,სამეგრელო
დარჯანია,სამეგრელო
დგებუაძე,სამეგრელო
დევდარიანი,სამეგრელო
დემანია,სამეგრელო
დემურია,სამეგრელო
დვალიშვილი,სამეგრელო
დვალიძე,სამეგრელო
დიდავა,სამეგრელო
დიდიშვილი,სამეგრელო
დიდიძე,სამეგრელო
დიხამინჯია,სამეგრელო
დოდელია,სამეგრელო
დოლბაია,სამეგრელო
დოლბანძე,სამეგრელო
დოლიძე,სამეგრელო
დოჩია,სამეგრელო
დოხნაძე,სამეგრელო
დუდავა,სამეგრელო
დუდუნია,სამეგრელო
დუდუჩავა,სამეგრელო
დუმბაძე,სამეგრელო
დღვილავა,სამეგრელო
ებრალიძე,სამეგრელო
ებსია,სამეგრელო
ეგია,სამეგრელო
ეგუტია,სამეგრელო
ედიბერიძე,სამეგრელო
ეზუგბაია,სამეგრელო
ეზუხბაია,სამეგრელო
ელარჯია,სამეგრელო
ელიავა,სამეგრელო
ელიაძე,სამეგრელო
ემუხვარი,სამეგრელო
ემხვარი,სამეგრელო
ენგურელი,სამეგრელო
ერანგია,სამეგრელო
ერემაძე,სამეგრელო
ერქვანია,სამეგრელო
ესათია,სამეგრელო
ესაკია,სამეგრელო
ესართია,სამეგრელო
ესებია,სამეგრელო
ესებუა,სამეგრელო
ესვანჯია,სამეგრელო
ესიავა,სამეგრელო
ეფენია,სამეგრელო
ეფსია,სამეგრელო
ექონია,სამეგრელო
ეძგვერაძე,სამეგრელო
ეხვაია,სამეგრელო
ეჯიბია,სამეგრელო
ვადაქარია,სამეგრელო
ვაზგანავა,სამეგრელო
ვარდანია,სამეგრელო
ვარდია,სამეგრელო
ვართაგავა,სამეგრელო
ვაჩეიშვილი,სამეგრელო
ვაჭარია,სამეგრელო
ვახანია,სამეგრელო
ვაჰანია,სამეგრელო
ვეკუა,სამეგრელო
ვერულავა,სამეგრელო
ვერულაშვილი,სამეგრელო
ვერულია,სამეგრელო
ვერხვიაშვილი,სამეგრელო
ვეფხაძე,სამეგრელო
ვიბლიანი,სამეგრელო
ზალიკაშვილი,სამეგრელო
ზამბახიძე,სამეგრელო
ზამთარაძე,სამეგრელო
ზანარდია,სამეგრელო
ზანთარაია,სამეგრელო
ზანთარია,სამეგრელო
ზარაგუა,სამეგრელო
ზარანდია,სამეგრელო
ზარგინავა,სამეგრელო
ზარელუა,სამეგრელო
ზარულუა,სამეგრელო
ზარქუა,სამეგრელო
ზაქარაია,სამეგრელო
ზედანია,სამეგრელო
ზერაგია,სამეგრელო
ზვამბია,სამეგრელო
ზვანბაია,სამეგრელო
ზვედელავა,სამეგრელო
ზიბაძე,სამეგრელო
ზოდელავა,სამეგრელო
ზოსიშვილი,სამეგრელო
თაფლაძე,სამეგრელო
თაბაგარი,სამეგრელო
თაგვარელია,სამეგრელო
თავართქილაძე,სამეგრელო
თავაძე,სამეგრელო
თათარაშვილი,სამეგრელო
თათარიშვილი,სამეგრელო
თაკალანძე,სამეგრელო
თაკალაძე,სამეგრელო
თაკვარელია,სამეგრელო
თამლიანი,სამეგრელო
თარბაია,სამეგრელო
თედორაია,სამეგრელო
თევდორაძე,სამეგრელო
თევზაია,სამეგრელო
თევზაძე,სამეგრელო
თევდორაძე,სამეგრელო
თელია,სამეგრელო
თვალაბეიშვილი,სამეგრელო
თვალთვაძე,სამეგრელო
თითბერია,სამეგრელო
თითბერიძე,სამეგრელო
თითმერია,სამეგრელო
თირქია,სამეგრელო
თოდუა,სამეგრელო
თოლორაია,სამეგრელო
თოლორდავა,სამეგრელო
თორდია,სამეგრელო
თორდინავა,სამეგრელო
თორია,სამეგრელო
თოფურია,სამეგრელო
თოშხუა,სამეგრელო
თუზბაია,სამეგრელო
თუთბერიძე,სამეგრელო
თულაძე,სამეგრელო
თუნგია,სამეგრელო
თუნთია,სამეგრელო
თურქია,სამეგრელო
თუშიშვილი,სამეგრელო
თხელია,სამეგრელო
იასავა,სამეგრელო
იაშვილი,სამეგრელო
ივანია,სამეგრელო
ივანიძე,სამეგრელო
ივარდავა,სამეგრელო
იზორია,სამეგრელო
იმდეიშვილი,სამეგრელო
ინალიშვილი,სამეგრელო
ინჯგია,სამეგრელო
ინჯიბაშვილი,სამეგრელო
იობაია,სამეგრელო
იობიძე,სამეგრელო
იორდანია,სამეგრელო
იოსავა,სამეგრელო
იოსელიანი,სამეგრელო
ირემაძე,სამეგრელო
იქმოდეიშვილი,სამეგრელო
კაკაბაძე,სამეგრელო
კაკავა,სამეგრელო
კაკალაია,სამეგრელო
კაკაშვილი,სამეგრელო
კაკაჩია,სამეგრელო
კაკიაშვილი,სამეგრელო
კაკუბავა,სამეგრელო
კაკუბერი,სამეგრელო
კაკუბერია,სამეგრელო
კაკულია,სამეგრელო
კაკუტია,სამეგრელო
კაკუჩია,სამეგრელო
კალანდარიშვილი,სამეგრელო
კალანდაძე,სამეგრელო
კალანდია,სამეგრელო
კალაძე,სამეგრელო
კალიკავა,სამეგრელო
კანდელაკი,სამეგრელო
კანკავა,სამეგრელო
კანკია,სამეგრელო
კაპანაძე,სამეგრელო
კარანია,სამეგრელო
კარბაია,სამეგრელო
კარკალაია,სამეგრელო
კარკალია,სამეგრელო
კარტოზია,სამეგრელო
კატუკია,სამეგრელო
კაცაძე,სამეგრელო
კაცია,სამეგრელო
კაჭარავა,სამეგრელო
კახაია,სამეგრელო
კახიანი,სამეგრელო
კედია,სამეგრელო
კეზუა,სამეგრელო
კეიდია,სამეგრელო
კეკელია,სამეგრელო
კეკელიძე,სამეგრელო
კეკუა,სამეგრელო
კეკუსანძე,სამეგრელო
კეკუსაძე,სამეგრელო
კეკუტია,სამეგრელო
კელენჯერიძე,სამეგრელო
კემულარია,სამეგრელო
კენჭაძე,სამეგრელო
კეჟერაძე,სამეგრელო
კერესელიძე,სამეგრელო
კერზაია,სამეგრელო
კერძაია,სამეგრელო
კეშელავა,სამეგრელო
კვანტალიანი,სამეგრელო
კვანჭიანი,სამეგრელო
კვარაცხელია,სამეგრელო
კვარშილავა,სამეგრელო
კვარცხალია,სამეგრელო
კვატალია,სამეგრელო
კვატანია,სამეგრელო
კვატია,სამეგრელო
კვატიძე,სამეგრელო
კვაშილავა,სამეგრელო
კვაჭანტირაძე,სამეგრელო
კვახაჯელიძე,სამეგრელო
კვეკესქირი,სამეგრელო
კვეკვესკირი,სამეგრელო
კვეკვეცია,სამეგრელო
კვერკაია,სამეგრელო
კვერკვეცია,სამეგრელო
კვესელავა,სამეგრელო
კვიკვინია,სამეგრელო
კვინჩია,სამეგრელო
კვიჟინაძე,სამეგრელო
კვირაია,სამეგრელო
კვირიკაძე,სამეგრელო
კვირკვაია,სამეგრელო
კვირკველია,სამეგრელო
კვირკვია,სამეგრელო
კვირტია,სამეგრელო
კვირცხალია,სამეგრელო
კვიტანძე,სამეგრელო
კვიტატიანი,სამეგრელო
კვიციანი,სამეგრელო
კვიჭია,სამეგრელო
კიზანია,სამეგრელო
კიზირია,სამეგრელო
კითაია,სამეგრელო
კიკაბიძე,სამეგრელო
კიკავა,სამეგრელო
კიკალაშვილი,სამეგრელო
კიკალეიშვილი,სამეგრელო
კიკალია,სამეგრელო
კიკალიშვილი,სამეგრელო
კიკიანი,სამეგრელო
კიკნაველიძე,სამეგრელო
კიკორია,სამეგრელო
კილაბერია,სამეგრელო
კილავა,სამეგრელო
კილანავა,სამეგრელო
კილასონია,სამეგრელო
კილაძე,სამეგრელო
კილტავა,სამეგრელო
კინტრაია,სამეგრელო
კინწურაშვილი,სამეგრელო
კინწურეიშვილი,სამეგრელო
კინწურია,სამეგრელო
კირთაძე,სამეგრელო
კირტავა,სამეგრელო
კირცხაია,სამეგრელო
კირცხალია,სამეგრელო
კიტეიშვილი,სამეგრელო
კიტია,სამეგრელო
კიტოვანი,სამეგრელო
კიუტი,სამეგრელო
კიფაია,სამეგრელო
კობახია,სამეგრელო
კობრავა,სამეგრელო
კოდუა,სამეგრელო
კოზმავა,სამეგრელო
კოზუა,სამეგრელო
კოთორია,სამეგრელო
კოკაია,სამეგრელო
კოკუა,სამეგრელო
კომახიძე,სამეგრელო
კონტუაძე,სამეგრელო
კონჯარია,სამეგრელო
კოპალეიშვილი,სამეგრელო
კოპალიანი,სამეგრელო
კორზაია,სამეგრელო
კორთხონჯია,სამეგრელო
კორკელია,სამეგრელო
კორკოტაძე,სამეგრელო
კორსავა,სამეგრელო
კორსანტია,სამეგრელო
კორტავა,სამეგრელო
კორშია,სამეგრელო
კორძაია,სამეგრელო
კორძახია,სამეგრელო
კოსტავა,სამეგრელო
კოტარია,სამეგრელო
კოტია,სამეგრელო
კოტრიკაძე,სამეგრელო
კოტუა,სამეგრელო
კოღოშვილი,სამეგრელო
კოღუა,სამეგრელო
კოშია,სამეგრელო
კოხია,სამეგრელო
კოხრეიძე,სამეგრელო
კუბეცია,სამეგრელო
კუდავა,სამეგრელო
კუდელია,სამეგრელო
კუკავა,სამეგრელო
კუკანია,სამეგრელო
კუკულავა,სამეგრელო
კუკუტარია,სამეგრელო
კულუა,სამეგრელო
კუნჭულია,სამეგრელო
კუპრავა,სამეგრელო
კუპრაძე,სამეგრელო
კუპრეიშვილი,სამეგრელო
კურდღელია,სამეგრელო
კურტანიძე,სამეგრელო
კურცხალია,სამეგრელო
კუტალია,სამეგრელო
კუტუა,სამეგრელო
კუცია,სამეგრელო
კუჭავა,სამეგრელო
კუჭუხიძე,სამეგრელო
კუხალაშვილი,სამეგრელო
კუხალეიშვილი,სამეგრელო
კუხალიშვილი,სამეგრელო
კუხალია,სამეგრელო
ლაბარია,სამეგრელო
ლაბარტყავა,სამეგრელო
ლაბაშია,სამეგრელო
ლაბახუა,სამეგრელო
ლაბჟანია,სამეგრელო
ლაგვილავა,სამეგრელო
ლაზარია,სამეგრელო
ლათათია,სამეგრელო
ლაკერბაია,სამეგრელო
ლაკია,სამეგრელო
ლაკირბაია,სამეგრელო
ლამანძია,სამეგრელო
ლასარეიშვილი,სამეგრელო
ლატარია,სამეგრელო
ლაშქარავა,სამეგრელო
ლაშხია,სამეგრელო
ლაცუზბაია,სამეგრელო
ლეთანძე,სამეგრელო
ლემონჯავა,სამეგრელო
ლემონჯარია,სამეგრელო
